review_id,product,review,sentiment,sentiment_label,rating
172,Watch,"Waste of money, poor quality.",negative,-1,1
173,Phone,"Best purchase I made this year, very satisfied.",positive,1,5
174,Laptop,"Wonderful experience, product is top notch.",positive,1,4
175,Tablet,"Normal product, average performance.",neutral,0,3
176,Watch,"Outstanding performance, will buy again.",positive,1,5
177,Phone,"Wonderful experience, product is top notch.",positive,1,4
178,Earbuds,"Excellent quality, very happy with my purchase.",positive,1,5
179,Watch,"Fantastic product, delivery was fast too.",positive,1,5
180,Phone,"Worst purchase ever, avoid this product.",negative,-1,2
181,Laptop,"Product is okay, nothing special.",neutral,0,4
182,Laptop,"Normal product, average performance.",neutral,0,3
183,Watch,Product stopped working after a few days.,negative,-1,1
184,Watch,"Completely useless, returned immediately.",negative,-1,1
185,Tablet,"Wonderful experience, product is top notch.",positive,1,5
186,Phone,"Outstanding performance, will buy again.",positive,1,4
187,Watch,"Outstanding performance, will buy again.",positive,1,5
188,Tablet,"Great value for money, highly recommend.",positive,1,4
189,Tablet,"Wonderful experience, product is top notch.",positive,1,5
190,Watch,Product stopped working after a few days.,negative,-1,1
191,Laptop,"This product is absolutely amazing, love it!",positive,1,5
192,Phone,"Outstanding performance, will buy again.",positive,1,5
193,Phone,"Wonderful experience, product is top notch.",positive,1,5
194,Laptop,"It is alright, neither good nor bad.",neutral,0,3
195,Watch,"Wonderful experience, product is top notch.",positive,1,4
196,Phone,"Defective product, customer service unhelpful.",negative,-1,1
197,Watch,"Worst purchase ever, avoid this product.",negative,-1,2
198,Watch,"Horrible experience, never buying again.",negative,-1,1
199,Tablet,"Completely useless, returned immediately.",negative,-1,2
200,Laptop,"It is alright, neither good nor bad.",neutral,0,2
201,Watch,"Very disappointed, does not work as advertised.",negative,-1,2
202,Earbuds,"Terrible product, broke after one week.",negative,-1,1
203,Laptop,"Works perfectly, exceeded my expectations.",positive,1,5
204,Phone,"Decent product, meets basic expectations.",neutral,0,3
205,Tablet,"Okay for the price, not bad.",neutral,0,3
206,Phone,"Average quality, does the job.",neutral,0,2
207,Phone,"Excellent quality, very happy with my purchase.",positive,1,4
208,Laptop,"Terrible product, broke after one week.",negative,-1,1
209,Phone,"Defective product, customer service unhelpful.",negative,-1,1
210,Watch,"Very disappointed, does not work as advertised.",negative,-1,2
211,Phone,"Best purchase I made this year, very satisfied.",positive,1,5
212,Tablet,"Outstanding performance, will buy again.",positive,1,4
213,Tablet,Superb quality and great customer service.,positive,1,4
214,Earbuds,Product stopped working after a few days.,negative,-1,2
215,Tablet,"It is alright, neither good nor bad.",neutral,0,2
216,Phone,Really impressed with the build quality.,positive,1,4
217,Tablet,"Waste of money, poor quality.",negative,-1,1
218,Laptop,"It is alright, neither good nor bad.",neutral,0,4
219,Tablet,"Best purchase I made this year, very satisfied.",positive,1,5
220,Watch,"Completely useless, returned immediately.",negative,-1,1
221,Laptop,"Works fine, but nothing extraordinary.",neutral,0,4
222,Earbuds,"Best purchase I made this year, very satisfied.",positive,1,4
223,Watch,"Not satisfied at all, very poor performance.",negative,-1,2
224,Phone,"This product is absolutely amazing, love it!",positive,1,4
225,Phone,"Horrible experience, never buying again.",negative,-1,2
226,Phone,"Satisfactory product, as described.",neutral,0,2
227,Watch,"Works perfectly, exceeded my expectations.",positive,1,5
228,Watch,Really impressed with the build quality.,positive,1,4
229,Watch,Neither impressed nor disappointed.,neutral,0,4
230,Laptop,"Great value for money, highly recommend.",positive,1,4
231,Laptop,Product stopped working after a few days.,negative,-1,1
232,Phone,Really impressed with the build quality.,positive,1,4
233,Tablet,Product stopped working after a few days.,negative,-1,2
234,Phone,"Completely useless, returned immediately.",negative,-1,2
235,Earbuds,"Completely useless, returned immediately.",negative,-1,1
236,Laptop,"Wonderful experience, product is top notch.",positive,1,5
237,Watch,"Product is acceptable, works as expected.",neutral,0,2
238,Laptop,"Best purchase I made this year, very satisfied.",positive,1,4
239,Watch,"Very disappointed, does not work as advertised.",negative,-1,1
240,Earbuds,Neither impressed nor disappointed.,neutral,0,4
241,Earbuds,"Terrible product, broke after one week.",negative,-1,1
242,Laptop,"Best purchase I made this year, very satisfied.",positive,1,4
243,Watch,Superb quality and great customer service.,positive,1,4
244,Earbuds,"Excellent quality, very happy with my purchase.",positive,1,5
245,Phone,"Average quality, does the job.",neutral,0,4
246,Phone,"Outstanding performance, will buy again.",positive,1,5
247,Watch,Superb quality and great customer service.,positive,1,5
248,Laptop,"This product is absolutely amazing, love it!",positive,1,5
249,Earbuds,"Product is okay, nothing special.",neutral,0,4
250,Laptop,Neither impressed nor disappointed.,neutral,0,3
251,Phone,"Horrible experience, never buying again.",negative,-1,1
252,Earbuds,"Works perfectly, exceeded my expectations.",positive,1,5
253,Laptop,"Very bad quality, not worth the price.",negative,-1,1
254,Tablet,"Defective product, customer service unhelpful.",negative,-1,1
255,Watch,"Normal product, average performance.",neutral,0,4
256,Watch,"Excellent quality, very happy with my purchase.",positive,1,5
257,Tablet,"Wonderful experience, product is top notch.",positive,1,5
258,Phone,"Worst purchase ever, avoid this product.",negative,-1,2
259,Earbuds,Really impressed with the build quality.,positive,1,5
260,Watch,"Waste of money, poor quality.",negative,-1,2
261,Tablet,"Not satisfied at all, very poor performance.",negative,-1,1
262,Tablet,"This product is absolutely amazing, love it!",positive,1,4
263,Phone,"This product is absolutely amazing, love it!",positive,1,5
264,Phone,"Fantastic product, delivery was fast too.",positive,1,5
265,Laptop,"Works fine, but nothing extraordinary.",neutral,0,2
266,Watch,"Outstanding performance, will buy again.",positive,1,5
267,Laptop,"Works fine, but nothing extraordinary.",neutral,0,4
268,Tablet,"Works perfectly, exceeded my expectations.",positive,1,5
269,Earbuds,"Average quality, does the job.",neutral,0,2
270,Earbuds,"This product is absolutely amazing, love it!",positive,1,5
271,Phone,"Terrible product, broke after one week.",negative,-1,1
272,Earbuds,"Very bad quality, not worth the price.",negative,-1,1
273,Earbuds,"Best purchase I made this year, very satisfied.",positive,1,4
274,Earbuds,"Wonderful experience, product is top notch.",positive,1,4
275,Tablet,"Okay for the price, not bad.",neutral,0,3
276,Earbuds,Superb quality and great customer service.,positive,1,4
277,Earbuds,"Worst purchase ever, avoid this product.",negative,-1,1
278,Earbuds,"Great value for money, highly recommend.",positive,1,5
279,Laptop,"Wonderful experience, product is top notch.",positive,1,5
280,Tablet,"Outstanding performance, will buy again.",positive,1,4
281,Phone,"Satisfactory product, as described.",neutral,0,3
282,Laptop,Really impressed with the build quality.,positive,1,5
283,Watch,"Great value for money, highly recommend.",positive,1,4
284,Tablet,"Waste of money, poor quality.",negative,-1,2
285,Tablet,"Average quality, does the job.",neutral,0,3
286,Watch,"Outstanding performance, will buy again.",positive,1,4
287,Watch,"Very disappointed, does not work as advertised.",negative,-1,1
288,Watch,"Excellent quality, very happy with my purchase.",positive,1,5
289,Phone,Product stopped working after a few days.,negative,-1,2
290,Earbuds,"This product is absolutely amazing, love it!",positive,1,5
291,Tablet,"Very disappointed, does not work as advertised.",negative,-1,1
292,Earbuds,"Product is okay, nothing special.",neutral,0,2
293,Earbuds,"Wonderful experience, product is top notch.",positive,1,5
294,Watch,"Fantastic product, delivery was fast too.",positive,1,4
295,Phone,"Product is okay, nothing special.",neutral,0,4
296,Laptop,"Average quality, does the job.",neutral,0,2
297,Phone,"This product is absolutely amazing, love it!",positive,1,5
298,Earbuds,"Best purchase I made this year, very satisfied.",positive,1,5
299,Phone,"Product is okay, nothing special.",neutral,0,4
300,Watch,Product stopped working after a few days.,negative,-1,2
301,Laptop,"Works fine, but nothing extraordinary.",neutral,0,2
302,Watch,Product stopped working after a few days.,negative,-1,1
303,Laptop,"Product is acceptable, works as expected.",neutral,0,2
304,Earbuds,"Outstanding performance, will buy again.",positive,1,4
305,Laptop,"This product is absolutely amazing, love it!",positive,1,4
306,Laptop,"It is alright, neither good nor bad.",neutral,0,2
307,Laptop,"This product is absolutely amazing, love it!",positive,1,5
308,Phone,"Very disappointed, does not work as advertised.",negative,-1,2
309,Phone,Superb quality and great customer service.,positive,1,5
310,Earbuds,"Wonderful experience, product is top notch.",positive,1,5
311,Laptop,"Very bad quality, not worth the price.",negative,-1,1
312,Tablet,"Average quality, does the job.",neutral,0,4
313,Earbuds,"Satisfactory product, as described.",neutral,0,3
314,Laptop,Neither impressed nor disappointed.,neutral,0,3
315,Laptop,"Completely useless, returned immediately.",negative,-1,1
316,Phone,Product stopped working after a few days.,negative,-1,2
317,Earbuds,"Waste of money, poor quality.",negative,-1,1
318,Laptop,"Average quality, does the job.",neutral,0,4
319,Laptop,"Excellent quality, very happy with my purchase.",positive,1,5
320,Earbuds,"Waste of money, poor quality.",negative,-1,1
321,Tablet,"It is alright, neither good nor bad.",neutral,0,2
322,Earbuds,"Terrible product, broke after one week.",negative,-1,1
323,Earbuds,"Completely useless, returned immediately.",negative,-1,1
324,Tablet,"Terrible product, broke after one week.",negative,-1,2
325,Earbuds,"It is alright, neither good nor bad.",neutral,0,3
326,Laptop,"This product is absolutely amazing, love it!",positive,1,5
327,Earbuds,"Great value for money, highly recommend.",positive,1,5
328,Tablet,"Excellent quality, very happy with my purchase.",positive,1,5
329,Watch,"Very disappointed, does not work as advertised.",negative,-1,1
330,Earbuds,"Works perfectly, exceeded my expectations.",positive,1,5
331,Phone,"Completely useless, returned immediately.",negative,-1,2
332,Laptop,"Fantastic product, delivery was fast too.",positive,1,4
333,Laptop,"Horrible experience, never buying again.",negative,-1,2
334,Phone,Superb quality and great customer service.,positive,1,4
335,Phone,"Works perfectly, exceeded my expectations.",positive,1,5
336,Earbuds,"Very disappointed, does not work as advertised.",negative,-1,2
337,Phone,"Waste of money, poor quality.",negative,-1,2
338,Watch,"Outstanding performance, will buy again.",positive,1,5
339,Tablet,"Wonderful experience, product is top notch.",positive,1,5
340,Phone,"Outstanding performance, will buy again.",positive,1,4
341,Phone,Product stopped working after a few days.,negative,-1,1
342,Watch,"Wonderful experience, product is top notch.",positive,1,5
343,Laptop,"Product is okay, nothing special.",neutral,0,4
344,Laptop,"Not satisfied at all, very poor performance.",negative,-1,1
345,Earbuds,Really impressed with the build quality.,positive,1,5
346,Watch,"Worst purchase ever, avoid this product.",negative,-1,2
347,Tablet,"Product is okay, nothing special.",neutral,0,3
348,Tablet,"This product is absolutely amazing, love it!",positive,1,5
349,Watch,"Works perfectly, exceeded my expectations.",positive,1,5
350,Tablet,Superb quality and great customer service.,positive,1,5
351,Laptop,"Wonderful experience, product is top notch.",positive,1,4
352,Tablet,"Worst purchase ever, avoid this product.",negative,-1,1
353,Tablet,"Defective product, customer service unhelpful.",negative,-1,2
354,Watch,Superb quality and great customer service.,positive,1,5
355,Watch,"Works perfectly, exceeded my expectations.",positive,1,4
356,Tablet,"Average quality, does the job.",neutral,0,2
357,Phone,"Works perfectly, exceeded my expectations.",positive,1,5
358,Watch,Really impressed with the build quality.,positive,1,4
359,Earbuds,"Defective product, customer service unhelpful.",negative,-1,2
360,Earbuds,"Terrible product, broke after one week.",negative,-1,1
361,Laptop,"Wonderful experience, product is top notch.",positive,1,4
362,Tablet,"Not satisfied at all, very poor performance.",negative,-1,1
363,Phone,"It is alright, neither good nor bad.",neutral,0,3
364,Laptop,"Wonderful experience, product is top notch.",positive,1,5
365,Tablet,"Very disappointed, does not work as advertised.",negative,-1,2
366,Watch,"Fantastic product, delivery was fast too.",positive,1,5
367,Earbuds,"Worst purchase ever, avoid this product.",negative,-1,1
368,Phone,"Waste of money, poor quality.",negative,-1,1
369,Earbuds,"Outstanding performance, will buy again.",positive,1,5
370,Watch,"Wonderful experience, product is top notch.",positive,1,5
371,Tablet,"Worst purchase ever, avoid this product.",negative,-1,1
372,Watch,"Fantastic product, delivery was fast too.",positive,1,4
373,Watch,"Terrible product, broke after one week.",negative,-1,2
374,Earbuds,"Outstanding performance, will buy again.",positive,1,5
375,Phone,"Best purchase I made this year, very satisfied.",positive,1,4
376,Watch,Superb quality and great customer service.,positive,1,5
377,Earbuds,"Normal product, average performance.",neutral,0,4
378,Phone,Superb quality and great customer service.,positive,1,5
379,Tablet,"Worst purchase ever, avoid this product.",negative,-1,2
380,Tablet,"Excellent quality, very happy with my purchase.",positive,1,5
381,Laptop,"Horrible experience, never buying again.",negative,-1,2
382,Earbuds,"Fantastic product, delivery was fast too.",positive,1,5
383,Phone,Superb quality and great customer service.,positive,1,5
384,Watch,"Not satisfied at all, very poor performance.",negative,-1,1
385,Tablet,"Worst purchase ever, avoid this product.",negative,-1,1
386,Phone,"Outstanding performance, will buy again.",positive,1,4
387,Earbuds,"Fantastic product, delivery was fast too.",positive,1,5
388,Laptop,"Horrible experience, never buying again.",negative,-1,2
389,Tablet,"Terrible product, broke after one week.",negative,-1,1
390,Phone,"Terrible product, broke after one week.",negative,-1,1
391,Phone,"Very bad quality, not worth the price.",negative,-1,2
392,Phone,"Horrible experience, never buying again.",negative,-1,1
393,Earbuds,"Works perfectly, exceeded my expectations.",positive,1,5
394,Earbuds,"Excellent quality, very happy with my purchase.",positive,1,5
395,Earbuds,"Outstanding performance, will buy again.",positive,1,4
396,Watch,"Excellent quality, very happy with my purchase.",positive,1,5
397,Phone,"Excellent quality, very happy with my purchase.",positive,1,5
398,Tablet,"Outstanding performance, will buy again.",positive,1,5
399,Earbuds,Really impressed with the build quality.,positive,1,5
400,Earbuds,"Worst purchase ever, avoid this product.",negative,-1,1
401,Phone,"Waste of money, poor quality.",negative,-1,1
402,Earbuds,"This product is absolutely amazing, love it!",positive,1,5
403,Watch,"Average quality, does the job.",neutral,0,4
404,Watch,Superb quality and great customer service.,positive,1,4
405,Earbuds,"Average quality, does the job.",neutral,0,2
406,Phone,"Works perfectly, exceeded my expectations.",positive,1,4
407,Phone,"Satisfactory product, as described.",neutral,0,4
408,Phone,Superb quality and great customer service.,positive,1,4
409,Laptop,"Works fine, but nothing extraordinary.",neutral,0,3
410,Earbuds,"Works perfectly, exceeded my expectations.",positive,1,5
411,Phone,"Outstanding performance, will buy again.",positive,1,5
412,Watch,"Wonderful experience, product is top notch.",positive,1,4
413,Tablet,Neither impressed nor disappointed.,neutral,0,3
414,Tablet,Neither impressed nor disappointed.,neutral,0,4
415,Phone,"Worst purchase ever, avoid this product.",negative,-1,1
416,Tablet,"Works perfectly, exceeded my expectations.",positive,1,5
417,Tablet,"Terrible product, broke after one week.",negative,-1,1
418,Laptop,"Terrible product, broke after one week.",negative,-1,2
419,Watch,"This product is absolutely amazing, love it!",positive,1,4
420,Watch,"Excellent quality, very happy with my purchase.",positive,1,5
421,Laptop,"Worst purchase ever, avoid this product.",negative,-1,1
422,Laptop,"Best purchase I made this year, very satisfied.",positive,1,5
423,Tablet,"Fantastic product, delivery was fast too.",positive,1,5
424,Earbuds,"Works perfectly, exceeded my expectations.",positive,1,5
425,Tablet,"Great value for money, highly recommend.",positive,1,5
426,Laptop,"Terrible product, broke after one week.",negative,-1,1
427,Watch,"Completely useless, returned immediately.",negative,-1,1
428,Tablet,"Very bad quality, not worth the price.",negative,-1,1
429,Earbuds,Product stopped working after a few days.,negative,-1,2
430,Tablet,"Terrible product, broke after one week.",negative,-1,2
431,Phone,"Fantastic product, delivery was fast too.",positive,1,4
432,Tablet,Product stopped working after a few days.,negative,-1,1
433,Laptop,"Product is okay, nothing special.",neutral,0,3
434,Watch,"Great value for money, highly recommend.",positive,1,5
435,Watch,"Great value for money, highly recommend.",positive,1,4
436,Laptop,Superb quality and great customer service.,positive,1,5
437,Phone,"Great value for money, highly recommend.",positive,1,5
438,Laptop,"Very disappointed, does not work as advertised.",negative,-1,1
439,Tablet,"Works perfectly, exceeded my expectations.",positive,1,4
440,Laptop,"Horrible experience, never buying again.",negative,-1,2
441,Laptop,Product stopped working after a few days.,negative,-1,1
442,Phone,"Product is acceptable, works as expected.",neutral,0,2
443,Tablet,"Fantastic product, delivery was fast too.",positive,1,5
444,Earbuds,"Wonderful experience, product is top notch.",positive,1,4
445,Earbuds,"Product is acceptable, works as expected.",neutral,0,2
446,Watch,"Very disappointed, does not work as advertised.",negative,-1,1
447,Laptop,"Worst purchase ever, avoid this product.",negative,-1,2
448,Watch,"It is alright, neither good nor bad.",neutral,0,4
449,Phone,"Works fine, but nothing extraordinary.",neutral,0,3
450,Earbuds,"Okay for the price, not bad.",neutral,0,3
451,Laptop,"Terrible product, broke after one week.",negative,-1,2
452,Phone,"Defective product, customer service unhelpful.",negative,-1,2
453,Phone,"Works perfectly, exceeded my expectations.",positive,1,5
454,Laptop,"Worst purchase ever, avoid this product.",negative,-1,2
455,Phone,"Normal product, average performance.",neutral,0,4
456,Laptop,"Outstanding performance, will buy again.",positive,1,5
457,Laptop,"It is alright, neither good nor bad.",neutral,0,2
458,Tablet,Really impressed with the build quality.,positive,1,5
459,Watch,"Fantastic product, delivery was fast too.",positive,1,5
460,Phone,"Worst purchase ever, avoid this product.",negative,-1,1
461,Phone,"Not satisfied at all, very poor performance.",negative,-1,1
462,Tablet,"Defective product, customer service unhelpful.",negative,-1,1
463,Tablet,"Works fine, but nothing extraordinary.",neutral,0,2
464,Tablet,"Waste of money, poor quality.",negative,-1,1
465,Earbuds,Really impressed with the build quality.,positive,1,4
466,Earbuds,"Satisfactory product, as described.",neutral,0,3
467,Earbuds,"Excellent quality, very happy with my purchase.",positive,1,4
468,Laptop,"This product is absolutely amazing, love it!",positive,1,4
469,Phone,"Waste of money, poor quality.",negative,-1,1
470,Watch,Really impressed with the build quality.,positive,1,4
471,Laptop,"Fantastic product, delivery was fast too.",positive,1,5
472,Phone,"This product is absolutely amazing, love it!",positive,1,5
473,Phone,"Fantastic product, delivery was fast too.",positive,1,4
474,Tablet,"Excellent quality, very happy with my purchase.",positive,1,5
475,Tablet,"Completely useless, returned immediately.",negative,-1,2
